R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.0053032560931760885,-0.5221932114882506,0.013766121849450938,0.5268148772521336,0.023085624581573053,-1.1944577161968466,0.006768968341535066,-1.8542555164101613,0.0152699731248473,-1.0868383871318334,0.015091514946636403,-1.203300',0.009183815912246802,-0.8481044864727334,0.0028626874738243015,-0.44185224460940264,0.009523455795451406,0.5766680122253619,0.013323420708326338,0.8168599901976802,0.051454886927885975,-0.2635462787265444,0.029295873676192706,-3.114900'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.00569156822625122,-0.5343878587078502,0.013648411461390007,0.5318866017765013,0.02276162208423621,-1.1810558639423645,0.007159902825798849,-1.872308556450103,0.015044765700341366,-1.0641694157709907,0.015084116576086546,-1.205000',0.009390429649718193,-0.8363301831563101,0.0029191693678713884,-0.47888133320563164,0.009651848184149542,0.5937537109606935,0.013848478259966403,0.8161266628580756,0.042780382627742225,-0.2759153491708744,0.02944753479962425,-3.120400'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005326566463298359,-0.547855147099107,0.013654393642514319,0.5241639584862146,0.023658727586312954,-1.1730205278592374,0.007942042153182931,-1.8443378827001107,0.015580910891212522,-1.079447322970639,0.01574760990650644,-1.147900',0.008766316306224962,-0.8520790729379687,0.003738022907351981,-0.4596855750666545,0.009302213089516127,0.5938947618482006,0.0143045349667205,0.8005123278898495,0.0425684074307412,-0.2759534190628622,0.02840626642237278,-3.102400'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005334926698107169,-0.5408328826392644,0.013397283031001314,0.5307855626326964,0.02320982611198277,-1.179245283018868,0.007143035718750111,-1.7898693395382137,0.015031513568195723,-1.0681478316599018,0.01532320469502992,-1.214700',0.00941405952133273,-0.8908685968819599,0.002272018815951026,-0.7084661707403471,0.010239533404941803,0.5716245569909683,0.01380153666309207,0.8015389547932029,0.04286804358822672,-0.27626598889410725,0.02851513155455943,-3.104500'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.00561835629368272,-0.506482982171799,0.013574414942715968,0.5307573907966668,0.023314588404256313,-1.179245283018868,0.007241769367025907,-2.0420665713702264,0.015468861182439748,-1.0938525486764383,0.015664970150399377,-1.172900',0.009137176429739682,-0.929368029739777,0.002706266197003189,-0.5793071486502144,0.0095388627577043,0.5883737349964697,0.01280375303608994,0.8101758081503687,0.05135025495401584,-0.2627430373095113,0.028410947306216034,-3.110300'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005354525832642153,-0.5435077993369205,0.013203446627707697,0.5307010560951017,0.02311251635210532,-1.1930326890956813,0.0071731997779177345,-1.9124115509657678,0.01524471580038569,-1.0960105217010083,0.015294261593050288,-1.192500',0.009408709642516078,-0.8166598611678236,0.0022668520044865537,-0.6876160352059411,0.00951962995294447,0.5878549174063841,0.01358498153121761,0.8170602173380178,0.04326532024990049,-0.27605244996549344,0.029258844217135732,-3.117300'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.0053405737271543605,-0.5528527200353825,0.013704506178676612,0.5308137374595254,0.023058050949069375,-1.1863803535413453,0.007449460994249761,-1.9436345966958213,0.015805204021476112,-1.1003521126760563,0.015517131689241506,-1.140300',0.009587534670922254,-0.9234463015975621,0.0026248723983905336,-0.6490134994807892,0.009483904865053518,0.5574136008918618,0.013300773040929139,0.8346548702111677,0.04355495546505804,-0.2761744317711066,0.030200713944877656,-3.164300'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.0056299205505611905,-0.519588485919152,0.013427739292384994,0.5335325188070212,0.023204601936656077,-1.1904761904761905,0.007403201292302818,-1.9022256039566294,0.015508708915491495,-1.118067978533095,0.015026702450254103,-1.169200',0.008840669910603146,-0.7740537193281214,0.0034239317076277327,-0.4744058067270744,0.009873471463199104,0.5562353988207809,0.013167371779425454,0.8159268929503917,0.04373745281822277,-0.27598388254125955,0.029293299157817646,-3.129900'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005502359962187783,-0.5464182285121032,0.012884356458605783,0.5296610169491526,0.023005058812432855,-1.1806375442739079,0.007031982864464156,-1.920860545524395,0.015785344570393954,-1.0788650339842487,0.015356359682799033,-1.187800',0.00988015373519212,-0.9593246354566385,0.003225156218504334,-0.4880191303499097,0.010045031877908665,0.5688282138794084,0.012899530715072586,0.8280887711162637,0.04294057025077293,-0.2767093721464346,0.02907957334449989,-3.125800'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005411161711485515,-0.5256794406770751,0.013449483069118239,0.5357047195585793,0.022514561292515934,-1.1798017932987257,0.007316059628812399,-1.8412815319462346,0.015425481043626347,-1.0788650339842487,0.015471374090089814,-1.228000',0.008807468733485996,-0.9202171712524155,0.002744644580877677,-0.6437906392841048,0.009976863653188256,0.5875095470301392,0.013616613357625372,0.8185315543914218,0.04337717319637714,-0.27588490081937816,0.028487350192147178,-3.122400'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005635603034884947,-0.49005194550622366,0.013952566853724079,0.5303914288745094,0.02425330148066406,-1.1695906432748537,0.007034055379117999,-1.8594272963927112,0.015309785862025147,-1.096371011950444,0.015691000269885205,-1.141800',0.0094001836795891,-0.8928571428571428,0.0026726048382699906,-0.5739869130983813,0.00966040768852527,0.5836689429755443,0.014457218199902847,0.8171269815329302,0.043233521543263785,-0.27630415561450045,0.029622256979003742,-3.136700'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005586570331847864,-0.4891649953529326,0.013887557997914088,0.5296329643557015,0.02247004181674782,-1.1906179307060365,0.006619149995234212,-1.9076688286913392,0.015486444714941013,-1.0924186148131965,0.015233104582879513,-1.155100',0.009166566598314635,-0.8943743851176101,0.0028855323735090814,-0.5165022467847735,0.009897736585597606,0.5738551589578791,0.014092347150879715,0.8294625082946251,0.04328048785765913,-0.27667109340416113,0.029176720478264802,-3.141600'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005884616787870158,-0.4906289863605142,0.013112398165837745,0.5235602094240838,0.023280339520471566,-1.1820330969267139,0.006737091732241027,-1.8070112034694614,0.014900398287646228,-1.07342206955775,0.015153145262596429,-1.155600',0.009773613783922991,-0.9310986964618249,0.0033614631776919856,-0.5078978109604347,0.009814072398412083,0.6031363088057902,0.014161838659836883,0.8231807704972011,0.035593015226691914,-0.3010325416177489,0.029838009446713793,-3.134400'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005214609876783983,-0.5295488244016098,0.013393783944871184,0.5345306820611503,0.022592743210880666,-1.1811953697141506,0.006534273571738483,-1.7593244194229416,0.015456953929003118,-1.101806963420009,0.015319143721142563,-1.148300',0.008920391747924002,-0.9387027128508402,0.0026208926026354646,-0.6201550387596899,0.00993737466486204,0.5871301080319399,0.014330384140277264,0.8268562923763849,0.04383311855105243,-0.27578599007170435,0.027296748411329244,-2.724200'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.0055348766414368535,-0.5121638924455826,0.013141571521688851,0.5256241787122208,0.022841375781746085,-1.1743981209630063,0.007437609611771654,-1.9688915140775742,0.015181233566314664,-1.096371011950444,0.015530168906117024,-1.180700',0.009104930684162701,-0.7886435331230284,0.0027497660636521346,-0.5323963158174945,0.01048585144065113,0.5818689631095078,0.013519761835875499,0.8352125615969264,0.043637633094780935,-0.2763957987838585,0.027493903226959424,-2.735800'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005512907093733203,-0.5343307507347048,0.013671437086780813,0.531293167569865,0.023925734520049764,-1.2055455093429777,0.007239289651942193,-2.0329335230737953,0.014810053656824399,-1.0672358591248665,0.015396150654413382,-1.196000',0.009513399147028631,-0.8902341315766047,0.003145141683915148,-0.5213492518638236,0.009669898669131845,0.5925925925925926,0.013899815688443971,0.8242664029014177,0.04269417309925541,-0.2766098694401416,0.0290285030871813,-3.133500'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005445095738395821,-0.5019072475406545,0.013316465809974034,0.5303914288745094,0.023912861532575297,-1.1749500646222537,0.006416195504043486,-1.920860545524395,0.014895315721112025,-1.0602205258693809,0.0151584972472169,-1.195800',0.009541165357936818,-0.8993614533681086,0.0029913788461653516,-0.5171433004085432,0.010261188286648347,0.5771339527904427,0.013107620114953828,0.8379420144126026,0.036088315325263985,-0.2999220202747286,0.02901224897151577,-3.116400'
