R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,class
0.0129731973742248,0.0191988327109711,0.0133580724835729,0.0143352322737685,0.0086314119522613,0.0273335319569988,0.0013839499176203,0.0108184246426403,0.0030158825422321,0.0133603211821212,0.0044076571583217,0.0151417418454149,0.0029399797258998,0.0015547527158031,0.0145429161455455,0.0436955989792708,0.0047678532264062,0.0144253516900742,1
0.0107612045661943,0.0164671127058594,0.0129828820699907,0.0162409903106251,0.0057694848484673,0.0320506656923264,0.0011711667186274,0.0062972292191435,0.0076715002232406,0.0070172434723846,0.0018202873942549,0.0059019961731456,0.0040432727219797,0.0051119621960171,0.0086852676148083,0.0244902957203208,0.0103936598674808,0.0186616255395542,1
0.0090911735614126,0.015940522721621,0.0123543728302632,0.0190391330340381,0.0098082872180362,0.0309244238006735,0.0015315758092501,0.004248586495273,0.0023080850372386,0.0018117986866996,0.0007862454843956,0.000810390371525,0.0029156125512455,0.0074342809563459,0.0147527222460724,0.0188403394275551,0.0169087149207573,0.028363564165473,1
0.0069380123288479,0.0160417599093961,0.0135431987410242,0.0186175362297255,0.0117305080013795,0.03003481034519,0.0008184794991756,0.001167678109445,0.0012208946349616,0.0015228578681725,0.0005528686446574,0.0018059163625954,0.0015381446806573,0.0066997545209943,0.008898625963165,0.0174519765236011,0.0214159818906457,0.0319589902237448,1
0.0063184844735881,0.0166507929107584,0.0120118821538265,0.0181739538163485,0.0128083612982555,0.0285550298257286,0.0008806959893809,0.0010785389938223,0.0013694808722552,0.0009777466810877,0.0008544222546238,0.0008731167526482,0.0017356515853007,0.0069013922178521,0.0012696386113353,0.0130391186598915,0.0304458490129455,0.0314407075416825,1
0.0062402963391925,0.0179218214305556,0.0097014570618361,0.0158090019618971,0.0139179232231683,0.0224278104850014,0.0009918265557196,0.0005584824690956,0.0009493828014938,0.0005882329757876,0.0030426219612193,0.001463542997576,0.0026705678321558,0.0066989107571108,0.0022088859505797,0.010057063779887,0.0439448404362843,0.0276312553708252,1
0.0077916026781296,0.0210386353499566,0.0074399503011319,0.0091418123643012,0.0141385121760866,0.0116120416872296,0.0007977271795382,0.000681021510473,0.0009938085725927,0.0009746828089734,0.0049754932082029,0.0007471857435764,0.0009900151036704,0.0057769774738317,0.0043191506822098,0.0109662349625503,0.050598325195436,0.0144853430056797,1
0.0097970636240905,0.0268777465697275,0.0061652509195471,0.008800934307186,0.0110823094202954,0.0053552627773892,0.0008477239417501,0.0017376855869927,0.0005942005432775,0.0018447117923754,0.0037830868778335,0.0025732918552996,0.0034351842564131,0.0030293611743742,0.0128823812824152,0.0260348189668863,0.0190116598509866,0.0162322378737066,1
0.0084959601709387,0.0297115895997551,0.0090512399746203,0.0048458393139066,0.0092582477099724,0.0069922393135858,0.0021783948541085,0.003215391694193,0.0013402375222546,0.0018562494442853,0.0019083619842079,0.0054361741511006,0.0042837908636165,0.0018253691261446,0.0184985811588251,0.0317355539758302,0.024993251822008,0.0211711006008358,1
0.0106836237142258,0.0326489034865764,0.0115654802796995,0.0043633272813983,0.0078065475075255,0.005692556413234,0.0020173825752211,0.003208482714941,0.002806049506009,0.0016791274716336,0.0021618849734509,0.0062403859054643,0.0040401738729227,0.0016744831540296,0.0182726498631378,0.0353426826509839,0.0253990830931003,0.0219645536033948,1
0.0120360117471474,0.0334130792157282,0.0120771342409702,0.0047960963612496,0.0044331939832691,0.0056586978996611,0.0013041188114834,0.0036526304600889,0.0033236603737589,0.0015003483058592,0.002002643489406,0.006243580818471,0.0033079262544152,0.0020364504261781,0.0166849645110804,0.0358289383168997,0.0246024248149897,0.0218695872771489,1
0.0094504202601889,0.0244506549107917,0.0123590298161594,0.0052492060575837,0.0086206004765467,0.0047248529153287,0.0017963764213379,0.0036613191879486,0.0034655150067196,0.0014966692374455,0.0018328371843075,0.0068311003604771,0.0031213762772281,0.0035719579866301,0.0136285086595544,0.030490407717732,0.0266568569433115,0.0133009322623422,1
0.0062807284640101,0.016705730232527,0.0061757596493156,0.0086969226808785,0.0089624767983881,0.0020556771945433,0.0004582375158687,0.0006151176732411,0.0010278006720377,0.0014089472092841,0.0044738285503632,0.0001323456693658,0.0032770199305075,0.0043150243971479,0.0261510379346956,0.0119323625958616,0.0425524671920478,0.0107806831718926,1
0.0091749348120881,0.0254562394515707,0.00957847066306,0.0189563756926185,0.004851116799854,0.0073056745365828,0.0015960364668796,0.0013586347351273,0.0008815281678662,0.0019620438689464,0.0011927170786828,0.0052155318538607,0.0032165800548877,0.0028081281831888,0.0106799154577892,0.0249809520240816,0.0247896597371304,0.0143940397160343,1
0.0088166861074595,0.0264777216450078,0.0120154759330017,0.0191962528914355,0.0057675980953084,0.0073713967691167,0.0010122834523238,0.001337428002907,0.0005471591251998,0.0001240332845799,0.0013367506025737,0.0057742721529951,0.0029651857540615,0.0024670159961317,0.0154117875515909,0.0323368203204578,0.0297488011233147,0.0222999250722517,1
0.0098299903174595,0.0256240086711645,0.0122314882541018,0.017000759933969,0.0063154118785318,0.0083074556091109,0.001194743130227,0.0009721511741739,5.866581120962972e-05,0.0009817314503069,0.0013118434141721,0.006414446359513,0.0040793898211881,0.0021221397535134,0.0150352200028566,0.02848791827386,0.031519690350562,0.0224705467308725,1
0.0061393535015188,0.0136252776150314,0.0081258796264695,0.017214074227088,0.0115634474799778,0.0067732046605066,0.0009037961426342,0.0007550508560728,0.0005140178581112,0.0017131698044228,0.0033429722366155,0.0056764835773653,0.00337418572463,0.0037888432206986,0.0074964316985115,0.0226173217019986,0.0202442263466459,0.0155187932586362,1
0.0060832542003349,0.0076456281915719,0.0285168391935437,0.0280060268969882,0.0118098891287608,0.0247360049867786,0.0008731152279852,0.0047296038200064,0.0056999251599826,0.0059596993212498,0.0077334197414099,0.0015847313040532,0.0010641000007129,0.0050982197526445,0.001891675831836,0.0078920805339466,0.0449391748268718,0.0209709992051991,1
0.0070335952644209,0.0149505212499233,0.0349369388254201,0.0235720077693337,0.0153701674272337,0.0382055612014884,0.001332276926549,0.0090365256366232,0.0105325577157831,0.0088882963357998,0.0075280967390543,0.0123176525510474,0.0027518787764376,0.0105597959002648,0.0030662835447586,0.0201722711960139,0.0402183049593191,0.063238707147871,1
0.0106089089373692,0.0239498585760851,0.0300751879699248,0.0164009709374794,0.0126572024544847,0.0369464498156372,0.0014984276998145,0.0121419343558461,0.0136743534765676,0.010873110796999,0.0153524225355139,0.0149609220715491,0.0033407542621342,0.0129297025004751,0.0066511871371361,0.0211443759131727,0.0388183688521408,0.0641058515821324,1
0.0111665966893274,0.0323410035413398,0.0159723741816154,0.004472373922661,0.0199490103295975,0.0233727865971092,0.0020546255064908,0.011779131854424,0.0134324468813888,0.0133760475117207,0.015201518935772,0.0192781861540211,0.00014221757215,0.0129092556781361,0.0020918852216049,0.0210029320093085,0.0235386056671547,0.0342693433308431,1
0.0119250771254363,0.0418841150305335,0.0118104191517756,0.0113690883582809,0.0156633998035809,0.0259388569264529,0.0008822794005934,0.0185534608698233,0.0093903679240056,0.0157770264407186,0.0270411322662902,0.0207743428555996,0.0024440006139329,0.0061632408292517,0.0036173220530762,0.0342560778846186,0.0226153268593191,0.0120378518212667,1
0.011266386959833,0.0198542696606905,0.0110640397685845,0.0198838781515946,0.016219047974322,0.0425340059377472,0.0017818870468928,0.019407451685149,0.0050110769856768,0.0157366812598157,0.019369034337424,0.0122656043017927,0.0022744956931286,0.0012239627925102,0.0100579438143142,0.0342020658047746,0.0080024647591458,0.0136566872700555,1
0.0081202907388896,0.0172992123668609,0.0112337587932246,0.0207376377756809,0.0149267989778128,0.0409331112029832,0.0016675741049087,0.0124214035689176,0.0029902884402326,0.0134873589728027,0.0076582872240623,0.0111349894774349,0.0028111089403103,0.0059988470216024,0.0106998676426372,0.0195851474076119,0.016178559525774,0.0274459109709539,1
0.0073155137173197,0.0179344209961853,0.0121554093394872,0.0205145879234723,0.0128337743873797,0.0400019200921644,0.0017017010033058,0.0060195599581279,0.0079773570696933,0.0044617859190498,0.0026137271906562,0.0031365050927433,0.0020739009724729,0.0064969321486394,0.01191640877572,0.0134081148592751,0.0238847037580192,0.0323983178793357,1
0.0075182938886044,0.0164933490569927,0.0103492242221523,0.0194408046937878,0.0031548199496932,0.0353646805862049,0.0008682172911724,0.0018042712151622,0.0013488001141624,0.002182407352443,0.0011940073249961,0.0007071479147657,0.002379307826043,0.0060809015301372,0.0045340082355725,0.0103290206229225,0.0399590819001342,0.0305973208985821,1
0.0076949535724976,0.0177258449910307,0.0105412844133406,0.0185701711055565,0.0113441707978355,0.0177468903011469,0.0008403481394272,0.00086092104605,0.0010054831004433,0.0009034372807188,0.0011548984440053,0.0003643800168751,0.002081322688894,0.0054460031510574,0.0038768495479981,0.0080563752917414,0.0543448725612738,0.0137578643392028,1
