R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,58.736200,-2.576200,215.225400,-0.782400',R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,99.399300,-2.322200'
0.00025621799436909714,-0.32542549383318686,0.0007350467419898466,0.30098723814110284,0.0010543838539248175,1.5610365282547614,0.0026815302098511912,-0.5715265474081271,0.0009797612674505279,-1.2503125781445361,0.0005830229659159527,-2.776000',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.000317144884151731,0.447527411053927,0.0005013671530212159,-0.7571742257893541,0.0003236371324805042,-0.4781257470714798,0.00034853730915883205,0.8628872206402622,0.00038352165461059956,-0.8208832703989493,0.0005636889927153908,-1.152300',0.0007432528251783137,-0.2072152344640378,0.0024051811450153462,-0.6132711885195633,0.0006149087705975223,3.1816735602927135,0.003323712294145879,0.47241118669690096,0.003236697416371021,0.3491742030098816,0.0012485223737706424,3.297400'
0.0007829811223251407,-0.2506202852058846,0.0005967718343745709,-0.5136106831022085,0.000802395696783974,1.498576352465158,0.002423537982535501,-0.584180394905947,0.0007403043450386801,-1.4963339817447254,0.0008470732855617884,-1.402300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0005565030638554431,0.6666666666666666,0.0006348126966094273,-1.1010790574763267,0.00019873776478403774,1.1179429849077698,0.0008027874707674978,0.5235053921055387,0.0010564813971586145,-3.9682539682539684,0.0005944102727885456,-0.266100',0.0005047274030387113,-0.24052916416115455,0.00038929360067889695,0.668985817500669,0.0031638761279218397,-1.0114291493880854,0.0033138303371888643,0.47977738329415154,0.003679980098667627,0.3460447089763997,8.73771507841977e-05,-1.866100'
0.002306797625105709,-0.3055581018730712,0.0007356168154353595,-0.5513895015438905,0.0010548307344765307,1.6307893020221789,0.003033931796606426,-0.5508427894678859,0.00038928461400055883,-1.6030779095864058,0.0010034901387024069,-1.295700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.000264618036169528,1.9972039145196723,0.0009239176028107791,-0.8502678343678259,0.0002462132888599911,-0.5822077317186772,0.0006356796970198001,0.9261831990367694,0.0004762275765864426,-1.4013452914798206,0.0006518039717805382,-2.575200',0.0002783941114077555,-0.22173440652786092,0.0025621408839283564,-0.6116582053948254,0.0007149550654316152,1.7975912277548085,0.002214918896314774,0.4746985664103295,0.003351657964645371,0.36064627813040967,0.0007834183551160195,3.362400'
0.00043146978369643096,-6.702412868632708,0.0007838997649319776,0.270292185852907,0.0008290378808133691,2.57864878803507,0.002446886654826998,-0.5837370848169984,0.0005590943119421986,-1.9900497512437814,0.0016826173179685694,-0.959600',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.00012618103078924404,-0.6780120686148213,0.0006833519808699713,-0.6424257998201208,0.0002639686048411895,-0.35706634292651573,0.0006093569687464467,0.4099368697220628,0.0009849429796810203,-2.2920009168003666,6.868546056554784e-05,3.135000',0.00046525815034575193,-0.2066414564089848,0.00047840096200692646,-0.9586808551433229,0.0006142145083977557,4.901960784313726,0.0031290482061166634,0.4587155963302752,0.002983360307882784,0.34833495889647487,0.0011388607179036306,3.314600'
0.0003563130041561774,-0.21490125287430425,0.0006428080736436927,-0.9004952723998199,0.001124496745537744,2.6034886748242645,0.0027046485877136473,-0.5654509471303365,0.0006160343136040952,2.4570024570024573,0.001228230685796114,-1.071600',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.000338903540630349,0.584726932522512,0.00019193359895919784,-1.38217000691085,0.0005339938053514616,-0.8322929671244278,0.00034705458762609493,0.5676979846721544,0.000776574234400701,7.2202166064981945,0.0014599158212537464,3.111400',0.0013286884157901863,-0.24411082631514708,0.00019399904688268267,-11.325028312570781,0.0008387898007857447,0.8595495960116899,0.003831128455055308,0.45435958017174793,0.004012528719674311,0.35184012384772356,0.0006047860103803052,3.413300'
0.0005670618709866195,-0.36020459621064765,0.000266071454180806,-2.0108586366378445,0.0009838298706293235,1.4819205690574986,0.0027429002769232117,-0.5270925574530888,0.0004388778542805271,8.628127696289905,0.00024150308817243938,-1.561500',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.000593838333452101,0.4240522432363667,7.880825960682734e-05,-0.43639537420903335,0.0001657090671096534,-3.367003367003367,0.0006296060007496088,0.43950248318903,0.00041148399150334934,-4.646840148698884,0.0013576604360913934,3.418900',0.001095065601547459,-0.29627873903768664,0.002402336031557086,-0.6431695394906097,0.00043503668903668825,1.0437323870159692,0.003383949319267835,0.47901896915117836,0.004056370570544746,0.3506311360448808,0.001389203389100588,3.425600'
0.0009657632112785692,-0.3325794864972728,0.0006732834722036602,-0.4884959210590592,0.0009491868031901029,1.161710037174721,0.003334813990745224,-0.5500550055005501,0.0006793587641322757,-1.3381506757660913,0.001481263571151681,-1.606800',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.00024335618748073077,-1.115324559446799,0.0002378847497391772,-0.8116883116883117,0.0002943952357901234,-0.26316482012684544,0.0003703490821564627,0.9118263882556761,0.0006856123292842441,-2.554278416347382,5.93634339068037e-05,3.325500',0.0003061492589075505,-0.2236335987118705,0.003114688434601199,-0.6800408024481469,0.0006005612124418025,0.6162568558575214,0.003185954274547061,0.4552904753232562,0.0032315095447481667,0.37006883280290137,0.0007532171977864754,3.303900'
0.0011697880706650256,-0.3043398867855621,0.0009818604232387903,-1.6249593760155998,0.0005103274454814639,2.260397830018083,0.0024246033227733775,-0.6072382803011902,0.0005948397650382928,-2.6034886748242645,0.0012991484082184128,-1.078100',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0005648657672760947,8.116883116883116,0.00032802831724130285,-0.3608545034642032,0.00018595243872160527,-0.3916040100250627,0.000201914623107275,-24.630541871921185,0.0003382239616253799,-2.043318348998774,0.00047499371820807667,-1.655800',0.0005117430182132411,-0.25164829634103375,0.0028841991170312823,-0.6948787436592314,0.0005801582625327528,1.0937329104232747,0.003816929379554312,0.4582951420714941,0.0042698511786070205,0.3536568114301882,0.0007415207656587497,3.220200'
0.0003671926713924119,7.027406886858748,0.00034768284162577193,-0.7591285204585136,0.0013207713886048864,1.5003750937734435,0.003047479734259767,-0.5421229534858506,0.0005357206473969735,1.2146240738491436,0.001019428263852501,-1.326900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.000271020462234613,-0.7004272606289837,0.00019482946752054448,-0.4918355301987016,0.00019657189621035334,0.4745634016704631,0.0005056784401923742,9.569377990430622,0.0007469436931435798,-1.6758840288252053,0.00029395841670116514,0.194100',0.0008426679169611439,-0.23925162092973176,0.0032155333412221083,-0.6496881496881497,0.003006232220015314,-1.0642826734780757,0.0030501586387508012,0.47160913035276364,0.0036736761632420044,0.34763262184523397,0.0009494689762436216,3.298400'
0.0008603842441619057,-0.29609451336866727,0.0009056254099653028,0.26822595354326484,0.0012224194663943441,1.122334455667789,0.0023612249090338103,-0.4867601246105919,0.0005791317853179321,-1.139211665527455,0.0008737218541426212,-2.208500',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0008312988679039497,-1.0255358424776946,0.0006723697969335633,-0.6002761270184285,0.0004132267263476254,0.5310110450297366,0.0005599008214080991,0.6831534362617844,0.0007974969441910841,-3.7230081906180192,0.0005436689291086705,3.411000',0.0006015781922611418,-0.27162103433289875,0.000150257238890408,1.4138272303124557,0.0005575666675494805,5.083884087442806,0.0021171450214699677,0.47705371624844956,0.0033324535655920168,0.35279590756747226,0.0009446317334294591,3.607600'
