timestamp,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12,Label,Class
1686750383.2664478,102.7898,-1.0482,974.5756,-0.5449,101.0191,1.2061,310.5028,0.5198,46.2475,-3.9719,32.4779,2.715400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',187.2979,-1.5965,77.2035,1.8505,33.67,-0.7079,881.3936,-2.6857,74.4514,-1.2002,62.0816,-1.700200',lifting,1
1686750383.4771423,102.0703,-1.0926,1003.3624,-1.3818,99.3188,1.1699,289.6127,0.4204,45.5152,-3.9706,32.9813,2.741800',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',184.1051,-1.6473,76.064,1.8648,34.2414,-0.7224,848.7846,-2.7226,74.3655,-1.2382,62.9129,-1.679800',lifting,1
1686750383.687839,109.4179,-1.1444,1068.697,-1.6958,99.4733,1.0567,314.8185,0.598,45.7787,-3.9587,32.9314,2.709400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',195.2488,-1.6632,79.6536,1.8417,34.2624,-0.7233,910.0433,-2.5641,73.4864,-1.1963,63.205,-1.693800',lifting,1
1686750383.8985355,97.4369,-1.0145,627.0738,-0.9738,96.2493,1.063,320.0829,0.6037,45.9782,-3.9601,32.9184,2.724400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',177.6217,-1.6418,79.8839,1.8812,33.7212,-0.723,677.4931,-2.7366,72.7784,-1.1828,61.3567,-1.748300',lifting,1
1686750384.1092274,103.1534,-1.0587,602.0307,-0.7834,98.8145,1.1101,275.9875,0.5937,46.3705,-3.9445,32.8447,2.737700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',175.1838,-1.4649,77.663,1.8685,34.0977,-0.7209,773.9093,-2.0216,70.1082,-1.1328,62.5169,-1.722800',lifting,1
1686750384.319939,104.5778,-1.1477,825.1785,-1.8023,120.1917,1.3178,208.1368,0.8718,46.2296,-3.976,32.6354,2.713700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',192.5291,-1.6687,74.9237,1.8375,33.8545,-0.7323,1079.3524,-1.8134,69.1365,-1.1692,62.6809,-1.660100',lifting,1
1686750384.5306206,106.1182,-1.1014,749.9122,-0.7353,130.6682,1.407,187.7297,0.7553,45.9908,-3.9381,33.5431,2.734200',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',179.3027,-1.5905,76.0634,1.8358,33.4031,-0.7211,747.0076,-2.0265,67.4924,-1.1229,63.1607,-1.706400',lifting,1
1686750384.7413445,100.5254,-1.1895,857.8931,-1.0678,134.8256,1.4192,160.6674,0.8632,46.7591,-3.9366,32.9088,2.728800',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',184.3526,-1.7222,78.9011,1.8486,34.1524,-0.7343,1004.4759,-2.5679,71.0537,-1.1504,63.0762,-1.712100',lifting,1
1686750384.9520166,102.9227,-1.3716,606.8868,-2.1206,114.6535,1.1583,236.4701,0.7477,47.4829,-3.9484,33.2539,2.712900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',179.3834,-1.564,74.1469,1.8495,34.4484,-0.73,976.048,-2.7537,76.2513,-1.2048,63.1121,-1.686300',lifting,1
1686750385.1627192,107.0186,-1.0951,522.4788,-0.5468,106.1736,1.1394,271.2634,0.6643,47.1595,-3.9252,33.6577,2.722700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',204.47,-1.5189,79.533,1.8676,34.7491,-0.7298,1897.0152,-1.2725,80.8855,-1.3076,61.6654,-1.655400',lifting,1
