R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,class,activity
0.0125334957674384,0.0302927491275688,0.0514996704021094,0.0259176130915047,0.021298120440871,0.0919016284968569,0.0009951017113361,0.0017889193263573,0.0050127750572333,0.0039928177194861,0.0024796802601085,0.0062371320170074,0.006983488937106,0.0163481234806462,0.0231580117457435,0.0110985327739672,0.0290467158330743,0.060171730117756,0,pause
0.0128084105146803,0.0305395731789252,0.0513492002362063,0.0255730276163125,0.0212627071253457,0.092424004362413,0.0010155377272265,0.0022796610691108,0.0048483837670293,0.004190257818183,0.0031306616058478,0.0059444479450637,0.0077495770668315,0.0163142782563299,0.0230181912765658,0.011078061560788,0.0292448112393658,0.0614794412748377,0,pause
0.0128741882824287,0.0300007500187504,0.0510597450076334,0.0260177493085783,0.0218559170524236,0.0931853549896098,0.0016321646109825,0.003157799670452,0.0051104234752412,0.0040639701411985,0.0036299590685815,0.0048557077873899,0.0067545022134503,0.015769736613859,0.0226280692147381,0.0111325970233662,0.0296944735615254,0.0622878320720047,0,pause
0.0125621196818266,0.0304775837371613,0.0502333338356666,0.0269684980973724,0.021183882454873,0.0920454336260378,0.0015515521029039,0.0023981689500432,0.0048098960725755,0.0038538348354296,0.00280779623935,0.004856287872975,0.0063615578691834,0.0162005498466617,0.0228851280995045,0.0105759224319545,0.0306097773750891,0.0627482477551814,0,pause
0.0129654936352391,0.0299244407870127,0.0512030148335133,0.0276646600566572,0.0216002315544822,0.0904829982446298,0.0011028250960202,0.0026543998003891,0.0048575239645944,0.0040617004796462,0.002890915356311,0.0051267775178501,0.0065048223500492,0.0160830140855037,0.0226988475795083,0.0107341054733203,0.0303955063283444,0.0636063530025378,0,pause
0.0128116924630094,0.0303490136570561,0.0504770077229821,0.0278948586985932,0.0213323321358784,0.09071364423923,0.0012541183679555,0.0024776000182351,0.0047649248166337,0.0043914773720345,0.0026159130700695,0.0051750753879107,0.0062787606479932,0.0158165032558271,0.0223223254505761,0.010649457143922,0.0305051035038161,0.063142873379596,0,pause
0.0135528901538253,0.030324625111822,0.0512883636960446,0.0272878099895214,0.0208901283698388,0.0884642604387827,0.0010919095182626,0.0015938038008395,0.0050622735581759,0.0041868823301842,0.0024341614107036,0.0045837664992675,0.006666920009627,0.0157786943446003,0.0225887115173063,0.0108154409887908,0.0304888273692105,0.063205931244588,0,pause
0.0131025880231863,0.0299055582470557,0.0509222010612186,0.0290163739398142,0.0208214477569054,0.0896635822394376,0.0016099917375224,0.0015512856590156,0.0052425601518245,0.0042311762373757,0.0021462304038432,0.0059711723740127,0.0066412439846932,0.0155842860526873,0.0227381250142113,0.0102854627326828,0.0303845160506206,0.0634944823294855,0,pause
0.0133379215783562,0.030787987758696,0.0511095891811221,0.0285288797850063,0.020888121134392,0.0891035293907991,0.0010077977341885,0.0021544313636947,0.0049757952440353,0.0035806910518888,0.0026978647749238,0.0050289820234008,0.0060072615777952,0.0158324295654789,0.0224661547378873,0.0106276814968876,0.0306002233816306,0.0636780438104941,0,pause
0.0132145433978819,0.0311912240372048,0.0520472797489239,0.0291848098901483,0.021273336850525,0.0899774156686671,0.0009116380257348,0.0025721878077783,0.0051566433552009,0.003979800126478,0.0021464340218378,0.0049199790015296,0.0067777402742815,0.0156702478406398,0.0220435713230771,0.0106456932315747,0.0306372549019607,0.0638765394246001,0,pause
