R1_1,R1_3,R1_5,R1_7,R1_9,R1_11,R4_1,R4_3,R4_5,R4_7,R4_9,R4_11,class
0.0105080980657743,0.0217383270618259,0.0312381880601397,0.0210581288589021,0.0130879945135127,0.0309513197642747,0.0097729260629278,0.0095112456212602,0.0377640652260934,0.0224567202858291,0.0455649368697799,0.02382353431661,1
0.0122759485932376,0.0216336897123151,0.0310446204329482,0.021882412667291,0.0135093876734943,0.0307533336613688,0.0091616201409057,0.0100845488576223,0.0362890788017346,0.0194108797981268,0.0472764062367035,0.0195165363612588,1
0.0105137435655889,0.0217149607393509,0.0301802060100862,0.0216261105007742,0.013684233573446,0.031876777130325,0.0091634167082074,0.0110502487963516,0.0354680362057713,0.0181315443542903,0.0444428642537154,0.0190379006526192,1
0.0109267525145189,0.0205420639844208,0.0299748510999271,0.0223201830255008,0.013521132854595,0.0317259889783914,0.0088000978570881,0.0098508288979976,0.0358798455731446,0.0201978582191144,0.0466881743523183,0.0195058390729264,1
0.0112541133784398,0.0208573627533387,0.0292950154531206,0.0226674615389846,0.0129759244697388,0.0305031494501807,0.0099053641509022,0.0098300096432394,0.0374986875459358,0.021147237642083,0.0511338941017053,0.0237689468217352,1
0.0116617803806871,0.0213046998167795,0.0319782036563878,0.0217069946448844,0.0135056109060509,0.032586451856776,0.0092604768404734,0.009370709971841,0.0375675746749465,0.0206415390331503,0.048837663606173,0.0219721305496108,1
0.0115630998358039,0.0217615069408326,0.0309311194900077,0.0218255310697347,0.0138547331232032,0.0331929272510613,0.0092149167386198,0.0102152454365944,0.0365637397393005,0.0187952613387112,0.0469984443514919,0.0187218587061323,1
0.0117766903966978,0.021260763261401,0.027996696389826,0.0216304140926473,0.0126157654174115,0.0317854861113318,0.0090195399313071,0.0101665277241211,0.0351337013002982,0.0200727436228893,0.0470052927959688,0.0182193500429065,1
0.0119038266041001,0.021738374317415,0.0281771100428855,0.0219564033654775,0.011851191696581,0.0314223318512466,0.0083844364736401,0.0101750722938886,0.0355985902958242,0.0184622428671124,0.0490061551730897,0.0171450713063515,1
0.0110570054975431,0.0212501912517212,0.0304873401320101,0.0217129804539749,0.0136192838163412,0.0320929411575923,0.0089791351835739,0.0098586272847368,0.037467496946399,0.0216528485404897,0.050400431427693,0.0209891339253668,1
0.0117171205879182,0.0214428922173022,0.0308530561494768,0.0215449449095758,0.0136144999870662,0.0323730410263548,0.0098517702645988,0.0098131285922183,0.0376183095836405,0.0209320190816285,0.0485920454821545,0.0210580401703174,1
0.0105930520171819,0.021308921832482,0.03064082215454,0.0206221283686246,0.0143906219195074,0.03212159952717,0.0094733750793395,0.0100476661281117,0.0351004047076662,0.0195075513731365,0.0459685575066654,0.0163964800036728,1
0.0113700966458214,0.0210872146109092,0.0301044322755639,0.0219419985211093,0.014227321294174,0.0315841005637761,0.0090722450086776,0.0100479488117295,0.0350306868817083,0.0201456124870564,0.0424205145608416,0.0132892131456896,1
0.0105847099630699,0.0209068557761461,0.0290271549034121,0.0226579086297176,0.0131265292406565,0.0321623038501493,0.0089242049425816,0.0106853360858759,0.0366109935491429,0.0201303642388105,0.0490491816144047,0.0173386250817082,1
0.0116512772712708,0.0206032211075879,0.0294021657635301,0.0225049848541451,0.0129323277155301,0.0319711492349304,0.0094852812148748,0.0096799330148635,0.0379069309032463,0.0211407998410211,0.0498315692957802,0.0211618266042251,1
0.0116824340585009,0.0208719028705128,0.030785618190606,0.0205996984204151,0.013198218768395,0.0320187501801054,0.0091488127585683,0.0107663023349956,0.0366806909174941,0.0189134953463344,0.046115889229634,0.0174600514023913,1
0.0116318158078703,0.0203159949860124,0.0309216507214021,0.0213071965056197,0.0133039050952626,0.0312738463078097,0.0085669761915164,0.0107214690985817,0.0340665592434498,0.0188776126615923,0.0440998774023408,0.0152293927279649,1
0.0113896773076625,0.0207952087838961,0.0279531058695931,0.0222943568523935,0.0128549740393799,0.0316017671708201,0.0086689367722427,0.0108902804247209,0.0347212577428404,0.0186155954012033,0.0469668789569595,0.0161851844058985,1
0.0114326479841955,0.0208426691122065,0.0286335224100263,0.0220519323005678,0.0128320287437443,0.0315837015466538,0.0087177649742869,0.0107192740050101,0.0354165338546647,0.0204912574050281,0.0494540275360025,0.0183236096045032,1
0.0124054703161906,0.0212284928831477,0.0293015392098546,0.0222841722209965,0.0137237464729971,0.0319480652251699,0.0089388830686828,0.0100028808296789,0.0365370211366667,0.0203205774295282,0.0505190835838237,0.0221622855521844,1
