R1_1,R1_3,R1_5,R1_7,R1_9,R1_11,R4_1,R4_3,R4_5,R4_7,R4_9,R4_11
0.024752413979173316,0.029437479209780307,0.024738881109885164,0.019988846223807116,0.03589723340022185,0.04432152607878594,0.010023364462562231,0.013030928909767333,0.036924213052709313,0.006747437997792239,0.061599492420182464,0.08743169398907104
0.024827634149914218,0.02926989181847984,0.02367026375774905,0.020402583783210308,0.03704801422643746,0.04587240132846474,0.009237235295476065,0.013569994029202628,0.035912961346879706,0.006845179829719306,0.06167928007944291,0.08687418012492508
0.026252300357818854,0.02931648612597294,0.024030720873564768,0.01009798070679806,0.036960788299692855,0.04281335091534944,0.00935418693407169,0.013452160753321,0.035159889597946664,0.005773928748564457,0.06277857994852157,0.08628872206402623
0.0252691160863193,0.030279724091154085,0.024732640159871786,0.009420844183005551,0.036643190595891564,0.04613354739299323,0.009472100874085468,0.013779988700409265,0.034076542730280754,0.0054130744151579075,0.0627998693762717,0.08597491252052651
0.025736183529871986,0.0299311583358276,0.02624685693888157,0.02067367228508167,0.03765272888152569,0.0405232360235359,0.009720449590234447,0.013928255555632936,0.03394133579521156,0.004529884098385458,0.06320832832934067,0.08650294542529173
0.025863451322398267,0.03037048960266289,0.026260297319086245,0.020562930793400123,0.0386893592655212,0.045100506478687755,0.009846832520149082,0.013721486750532395,0.0337936021952324,0.0036421672643463148,0.06347916613767361,0.08668816533166891
0.025128090441023113,0.03202172353724767,0.026359004367687025,0.020982968124773124,0.0386931017938122,0.045281651874660385,0.009483329255501754,0.013498118362300296,0.034913275423847166,0.006814036096674819,0.06656814581086659,0.08742557897589677
0.025554010957559898,0.03220840123937928,0.026591854914839584,0.009035031527742515,0.03914522486974426,0.04525194017693508,0.009839004371469642,0.012972254941131908,0.033040266172384286,0.010672575004188986,0.06900454049876482,0.08636026046254555
0.02498263706723827,0.03199887363964788,0.026561553744647845,0.008862898930159471,0.03941259468875874,0.039183571112304035,0.009255582736116857,0.013403370411523683,0.03005584375770181,0.011415381770320235,0.06984118115405569,0.08653288682363733
0.026351711016596308,0.03250700525963345,0.02690059423412663,0.009196036508264937,0.039911874580925315,0.044317401227592014,0.00893695780594111,0.013390914264671422,0.0297656254650879,0.011975259114669094,0.06920415224913495,0.08571771442286263
0.026605297114655528,0.032721656501138716,0.027338538591081072,0.009279760656413151,0.03955086042896863,0.04482254753431166,0.008675246485440768,0.013449211741699817,0.03239464451736839,0.012545020943912464,0.06948884009228118,0.08609556607834697
0.02586465543106035,0.0325585484096777,0.02731270313822959,0.009349787713069975,0.03955383276639506,0.04493796314188263,0.009200368382750046,0.012865740847955246,0.032170788280825244,0.013536012561419657,0.07027505657142054,0.08534316486592589
0.02519164544270538,0.032426788418448246,0.027094103239370983,0.00951985651672258,0.04027824209640194,0.04518364894112118,0.009266792818606238,0.013177452851073697,0.03212128999100604,0.01420043055705449,0.0701493479618107,0.08625746127039989
0.026758859858499146,0.0323664398858112,0.02785709311233373,0.009395008432020069,0.0405987503704636,0.04448398576512456,0.010000080000640005,0.013242928276300456,0.032272743409098976,0.014221696335495505,0.07025234642837071,0.08581481163648845
0.025726384465380003,0.03299175865868706,0.02755428193541276,0.009598651581425841,0.04053802060952968,0.046188096403794815,0.009754679563653675,0.01324252492574254,0.031088727227507308,0.015014203436450883,0.0705641604629009,0.08580671180099708
0.024735882613395467,0.0336089265308866,0.027665884644327385,0.010250049968993598,0.041479490465939114,0.04659984249253238,0.009383019549521232,0.013270272996056076,0.03125556739794276,0.015597217456405776,0.07111667401538964,0.08600522911793036
0.026385293892596022,0.03309406325599251,0.0275309172200381,0.009872262791737706,0.04111774477393464,0.04126263668248401,0.009524380986668723,0.01294707881534229,0.0313407903520511,0.014792833759613492,0.07091645332633624,0.0860755571240435
0.026696923179603548,0.033111376737933386,0.028010262960348673,0.022631397896185252,0.04064660621161436,0.04781851915609877,0.008779916467874726,0.01338768734394977,0.03168136153819347,0.015052374737900524,0.07108937356044018,0.08537668192063384
0.02588219460304478,0.033627009213800525,0.027390656499254974,0.01040264476840592,0.04149790850541133,0.04252405798580547,0.009141202324059279,0.013287977038375677,0.03164817358390247,0.014988503817571924,0.07175351233442877,0.08514986376021799
0.02621245720816361,0.033956664504759024,0.02737243759768539,0.022835221044939714,0.04077255843726938,0.04912942656133318,0.009700120766503543,0.013246208603942336,0.03212727541428122,0.016482909695082655,0.07236623102195591,0.0857368222504201
0.027189576603913128,0.03399498913860097,0.027428746972552053,0.023156456599011218,0.04088157017934745,0.049007115833218984,0.00938366229325446,0.012972608337495379,0.031804289126431594,0.016195617142089006,0.07320751401923893,0.08604296985914767
0.025840260676549705,0.03396969902846661,0.02712680969729193,0.021490310019212335,0.041106927339395236,0.049408579305710645,0.009198861916803653,0.013185619236236193,0.031205824255038962,0.016686857764561788,0.07252841300579503,0.08608518990392892
0.02543344956419784,0.03424634077848782,0.02729928202888264,0.023128499631100433,0.04073369532010574,0.04913691017281452,0.009100886972444334,0.013083456753942044,0.031141588345571975,0.017297536657804563,0.07306950371193079,0.08595200440074263
0.025427241220609288,0.03403282125281622,0.027772763251079663,0.02317803278764518,0.040917869652034436,0.05019626740555572,0.00953269762950408,0.013217914503885406,0.027984004343117475,0.018561002591115962,0.07287939189435404,0.08523695874531197
0.025990430323554865,0.03333733381339094,0.027474867365077794,0.011214106448784055,0.04112011184670422,0.04992511233150274,0.009475664125609403,0.013091472738317171,0.030838023282707575,0.01805516937554391,0.0729059586039967,0.0859202488250406
0.026415473127539186,0.03521759189150164,0.026941687411765974,0.024080486618473586,0.04078220264676496,0.05104905814487723,0.00949239421913192,0.0132403157020876,0.031070181325578216,0.017967288754094295,0.07302894867525488,0.08585754516106876
