Port2,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,Port3,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,Port4,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,Port1,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,timestamp
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0004390201071209,0.0023057338528305,0.0009699021892438,0.0012765014465314,0.0010479431914187,0.0028960223711936,4,0.0006686695548733,0.003068906149781,0.0037050484990848,0.0061112292615435,0.0371045122797383,0.0034041950576534,1,0.0029667912224514,0.0023332910229894,0.0023704288058301,0.0074390370910389,0.0034834333136751,0.011947688241802,1691407187.7963026
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0011458247635189,0.0021475836677121,0.0011058749162576,0.0014840714610089,0.0002321169122749,0.0032164817672122,4,0.0015158825839795,0.0027434496025564,0.0034811184137239,0.0065319943615824,0.0357435188064524,0.0033808809155695,1,0.0030380066787538,0.002613156879044,0.002438767427432,0.0079486327556796,0.0038679527351647,0.0112946619168848,1691407188.0074303
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0003675226686144,0.0019567511043903,0.0013371102240127,0.0018178331247369,0.0002287030099077,0.0031064177970403,4,0.0011651153738022,0.002698560776581,0.003761621529716,0.0065658028039917,0.0347973748860385,0.0036186074585289,1,0.0045311751648101,0.0025389874213485,0.0028012601188518,0.0081303721433937,0.004431871716814,0.012393324459713,1691407188.2252395
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0004873916175075,0.0020473867667156,0.0008951434350986,0.001110424745238,0.000375154380717,0.0024505515456363,4,0.0009097892136664,0.0026000735820823,0.0028848281406907,0.0066768020521818,0.0330425588157546,0.0031579492530186,1,0.0028071940523418,0.0024824361436744,0.0025767710276111,0.0073298628875848,0.0043268839685487,0.012015576994015,1691407188.4304996
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0005810074250424,0.0012442938240595,0.0008494612759061,0.0013527250985291,0.0002011858011833,0.0027633118402938,4,0.001008412276048,0.0027705474186117,0.0034365158677683,0.0065503499196927,0.0322835789575632,0.0037412338215019,1,0.0036477033512545,0.0025296717852045,0.0022071050242097,0.0072721031940531,0.003013733886695,0.0121739659737651,1691407188.6374943
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0008365298533245,0.0021857995162825,0.0014005490432359,0.0015894880163729,0.0008153869386101,0.0037959509350565,4,0.0010364269884344,0.0028586211726635,0.002840339409198,0.0068552970194539,0.0307260252506475,0.0037529056872283,1,0.0024396616774772,0.0018513046884661,0.0033468109409927,0.00755805912065,0.003987725780049,0.0126657631755601,1691407188.848432
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0006346960129792,0.0014911434281655,0.0009364244579834,0.001331885130235,0.0004819830634043,0.0035565343137987,4,0.0009774373254968,0.0026343096172585,0.0028472304277821,0.0068772007042253,0.030633125436522,0.0041301373229358,1,0.0037290070884695,0.0024534898070992,0.0033691450996458,0.0070531511363331,0.0160289803965569,0.0138137383153041,1691407189.0627508
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0005930539270459,0.0019439825865815,0.0014692417184721,0.0020203750785925,0.0004301999134695,0.003037104303273,4,0.0010806504564775,0.0028092973132723,0.002367559323342,0.0068745437021617,0.0307077208422513,0.0044763618995352,1,0.0039330036427479,0.0023266121386335,0.0041485754206862,0.0072005956332707,0.0038133894969338,0.0134738929849523,1691407189.2703152
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.001033814201671,0.0014011465862744,0.0009207708030207,0.0015716477264779,0.0011355731226194,0.002484051149594,4,0.0010392038617646,0.0028273546562996,0.0024030911442006,0.0069198692975087,0.0303561996466538,0.0037570058767085,1,0.0041096233817844,0.002510490082811,0.0032484892900556,0.0083646729747453,0.0041726509435615,0.0141730587161476,1691407189.4819574
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.000945717695702,0.0017126985809778,0.0010557601853408,0.0016388386402752,0.0008270824509397,0.0028535824016148,4,0.000913200477275,0.002601479825784,0.0026363243311645,0.0068376722922475,0.0311070049864529,0.0035791185633131,1,0.003653001397273,0.0023611496437615,0.0029847120066308,0.0069324762943973,0.0036288775917897,0.0138875387115141,1691407189.6911426
